T,iterate,estimator,b,lam,sigma_true,mean_mean,bias_mean,rel_bias_median,var_mean,mse_mean,n_probs
20000,PR,OBM,7,0.0,2.457080471461364,0.6380848085023223,-1.8189956629590416,-0.7318581877705765,0.0007898193270344297,4.736222271790366,20
20000,PR,OBM,19,0.0,2.457080471461364,1.2699201485652403,-1.1871603228961236,-0.4661765918909954,0.00497344842962578,2.1358917841817764,20
20000,PR,OBM,52,0.0,2.457080471461364,1.9261588753771055,-0.5309215960842585,-0.20022761841897269,0.022943369556386897,0.4770626705258462,20
20000,PR,OBM,141,0.0,2.457080471461364,2.270262206474492,-0.1868182649868721,-0.06896441033733507,0.07705001775177908,0.13527783608644378,20
20000,PR,OBM,380,0.0,2.457080471461364,2.3767301621918966,-0.08035030926946737,-0.034056939759800495,0.20724517752109212,0.21910960175902,20
20000,PR,OBM,1024,0.0,2.457080471461364,2.338611970837009,-0.11846850062435481,-0.04624353293875354,0.5498347759262291,0.5735286149555459,20
20000,PR,OBM,2759,0.0,2.457080471461364,2.1390239033213483,-0.3180565681400156,-0.1291752322663547,1.2863341124968746,1.444223958465311,20
20000,PR,OBM_RR,7,2.0,2.457080471461364,1.472507510760677,-0.9845729607006867,-0.3801084270077929,0.00636997739774305,1.5460167023615468,20
20000,PR,OBM_RR,7,3.0,2.457080471461364,1.6934966336892547,-0.7635838377721091,-0.28858625780963615,0.01028654913011311,0.9699386606793838,20
20000,PR,OBM_RR,7,4.0,2.457080471461364,1.8479669515153212,-0.6091135199460427,-0.22592957108293535,0.014461199082916551,0.6422426059857925,20
20000,PR,OBM_RR,19,2.0,2.457080471461364,2.2242902433676814,-0.23279022809368252,-0.07584137266929111,0.031042305828191303,0.14132565334115937,20
20000,PR,OBM_RR,19,3.0,2.457080471461364,2.323077309583159,-0.13400316187820493,-0.04028186862585172,0.0439046433573159,0.08400568519264229,20
20000,PR,OBM_RR,19,4.0,2.457080471461364,2.3705835069533268,-0.08649696450803719,-0.024788558929156886,0.05636434889548063,0.07450678903583083,20
20000,PR,OBM_RR,52,2.0,2.457080471461364,2.4686040241477007,0.011523552686337157,0.003049306137518956,0.11016577170314305,0.11025657388772428,20
20000,PR,OBM_RR,52,3.0,2.457080471461364,2.4714009016635208,0.014320430202157074,0.004222553478822913,0.14499932044102312,0.1450708124929044,20
20000,PR,OBM_RR,52,4.0,2.457080471461364,2.4681051159242586,0.01102464446289465,0.003169497104258027,0.17606857486249863,0.17607581597305516,20
20000,PR,OBM_RR,141,2.0,2.457080471461364,2.4539049700950986,-0.0031755013662650823,-0.00402346897047813,0.31202397959401046,0.31189354938036484,20
20000,PR,OBM_RR,141,3.0,2.457080471461364,2.4325234823814705,-0.02455698907989351,-0.016237060936863005,0.3754194255378453,0.3766329179995797,20
20000,PR,OBM_RR,141,4.0,2.457080471461364,2.410741346403515,-0.04633912505784868,-0.022958467840292103,0.4513546790291375,0.45568804026976445,20
20000,PR,OBM_RR,380,2.0,2.457080471461364,2.352645868181415,-0.10443460327994884,-0.04052845640491695,0.8165584283625587,0.8345229317354426,20
20000,PR,OBM_RR,380,3.0,2.457080471461364,2.299004866845867,-0.1580756046154964,-0.06219644582514291,1.0243893205684005,1.0651091279299472,20
20000,PR,OBM_RR,380,4.0,2.457080471461364,2.2506257907642127,-0.20645468069715114,-0.08103052940169406,1.2067234275295031,1.2759420629816742,20
20000,PR,OBM_RR,1024,2.0,2.457080471461364,2.1012270203396977,-0.3558534511216663,-0.1345185799019524,1.9840931276287108,2.18954114350578,20
20000,PR,OBM_RR,1024,3.0,2.457080471461364,1.986166372564893,-0.47091409889647073,-0.18980451315819813,2.3151499043668182,2.649870134838335,20
20000,PR,OBM_RR,1024,4.0,2.457080471461364,1.87443627568078,-0.5826441957805838,-0.23939644570754898,2.582348946135601,3.0716216026327086,20
20000,PR,OBM_RR,2759,2.0,2.457080471461364,1.5598041949893875,-0.8972762764719764,-0.37483993862397325,3.726679704156281,4.839333610141076,20
20000,PR,OBM_RR,2759,3.0,2.457080471461364,1.2018064788562963,-1.2552739926050676,-0.5112743588375116,2.7274268952813965,4.930538170897987,20
20000,PR,OBM_RR,2759,4.0,2.457080471461364,0.8363036297522054,-1.6207768417091581,-0.6661828030120213,1.4321573337697913,5.117565165105292,20
